City,Elevation,Slope,Trees_pct,Urban_pct,Pop_Total
Ganja,498.9356240453815,4.981344993360279,6.375932002286644,10.206253498943864,401444.27001210983
Baku,22.952905508215224,2.2880622529566956,1.950467532783395,34.16940875688887,2048268.2902961709
Zaqatala,881.7902280786848,16.11532415669005,68.95493364072139,1.6259464775246566,110924.33129907114
Lankaran,53.491689121613504,4.134372595993648,27.364711391704656,3.8663558650153447,224066.71657422578
Shaki,948.4488135434093,13.009966036212795,33.07379462998003,3.331253530324348,111555.28656723922
Jalilabad,299.92801113392585,7.55251204736235,8.951281394181681,2.751702880238082,133833.2048254944
Sumqayit,22.09452019031812,1.9310048976113048,1.0069226059734715,15.498425334140645,775571.1553077184
Mingachevir,93.14326424462216,3.3095921560177675,2.6703855524438507,3.5340994279107494,173276.35047734686
Shirvan,7.653863403591705,2.0142762753234726,1.480767713854076,5.821670708909359,151089.59629057796
Quba,661.2857630616421,7.450375808305438,45.86663109709134,3.944225476513752,134268.27333710095
Khachmaz,93.0709471766501,1.5014712732263416,22.606562594746627,3.567351936515823,113963.2668199644
Yevlakh,37.124726149115794,1.590313757556681,3.865809705318594,4.041282753509166,162160.86060983653
Gabala,1239.984442338907,16.287354625688508,50.50675428242643,1.9824222844917498,73142.19871652138
Shamakhi,769.2230590701013,9.550579623588044,13.962351146485636,2.727795854859126,92758.29009700811
Nakhchivan,964.9115762090145,4.950962333585828,0.5374906852436719,2.9674777217549777,159349.83468539917
Barda,83.32164801561804,1.2086824284041882,6.079543428258809,5.908747340251094,198762.24628234422
