City,Date_Only,Temperature_C,Humidity_percent,Wind_Speed_kmh,Rain_24h_Sum_mm
Ganja,2020-01-01,9.55,55.402023,9.220499,0.0
Ganja,2020-01-02,8.8,53.821674,8.209263,0.0
Ganja,2020-01-03,5.35,64.77974,0.35999998,1.0000000149011612
Ganja,2020-01-04,3.55,82.80268,6.638072,0.10000000149011612
Ganja,2020-01-05,6.15,57.592167,6.6185193,0.0
Ganja,2020-01-06,6.1,53.28394,5.0528407,0.0
Ganja,2020-01-07,6.55,51.657524,5.1165614,0.0
Ganja,2020-01-08,5.9,45.650616,3.319036,0.0
Ganja,2020-01-09,5.75,48.8077,5.00128,0.0
Ganja,2020-01-10,7.05,47.030636,7.2,0.0
Ganja,2020-01-11,6.6,51.28969,5.634891,0.0
Ganja,2020-01-12,6.85,45.245224,8.4963045,0.0
Ganja,2020-01-13,7.15,43.336124,22.45315,0.6000000163912773
Ganja,2020-01-14,6.05,44.501785,1.5273507,0.0
Ganja,2020-01-15,4.9,53.752052,5.0528407,0.0
Ganja,2020-01-16,2.4,86.017914,5.2416787,2.1000000461935997
Ganja,2020-01-17,1.9,77.32203,12.72283,2.6000000536441803
Ganja,2020-01-18,5.15,37.1981,1.4399999,0.0
Ganja,2020-01-19,1.1,82.183914,1.08,1.3000000193715096
Ganja,2020-01-20,2.55,64.129776,3.219938,1.600000023841858
Ganja,2020-01-21,4.2,62.638348,4.3349743,0.0
Ganja,2020-01-22,5.9,47.583332,15.03835,0.0
Ganja,2020-01-23,7.1,44.81177,16.42247,0.0
Ganja,2020-01-24,3.65,41.314064,18.335276,0.10000000149011612
Ganja,2020-01-25,2.9,45.635204,7.42159,0.0
Ganja,2020-01-26,7.25,38.858948,11.885453,0.0
Ganja,2020-01-27,5.45,56.987335,7.0911775,0.0
Ganja,2020-01-28,7.8,34.27529,5.5887027,0.0
Ganja,2020-01-29,10.7,27.237328,7.9036193,0.0
Ganja,2020-01-30,11.3,43.274193,2.5455842,0.0
Ganja,2020-01-31,12.65,42.116528,2.4149535,0.0
Ganja,2020-02-01,5.35,60.424812,15.459054,0.4000000059604645
Ganja,2020-02-02,8.05,39.995914,6.193674,0.0
Ganja,2020-02-03,10.1,42.294,7.69592,0.0
Ganja,2020-02-04,11.6,37.5807,17.10284,0.0
Ganja,2020-02-05,10.2,46.051525,6.9899354,0.6000000163912773
Ganja,2020-02-06,15.75,39.927223,9.339208,0.0
Ganja,2020-02-07,16.95,35.438667,6.193674,0.0
Ganja,2020-02-08,5.7,52.779762,23.469128,3.100000098347664
Ganja,2020-02-09,1.6,23.673567,23.469128,2.400000035762787
Ganja,2020-02-10,-0.3,35.8078,4.802999,0.0
Ganja,2020-02-11,1.85,29.202805,7.968939,0.0
Ganja,2020-02-12,3.45,30.660406,2.9024127,0.0
Ganja,2020-02-13,6.9,39.80149,6.489992,0.0
Ganja,2020-02-14,8.35,20.401926,25.476198,0.6000000089406967
Ganja,2020-02-15,3.55,45.477036,3.2599385,0.0
Ganja,2020-02-16,7.4,36.460583,6.28713,0.0
Ganja,2020-02-17,5.8,50.87495,15.463246,0.5000000074505806
Ganja,2020-02-18,7.55,52.897964,2.2768397,0.0
Ganja,2020-02-19,11.6,37.441933,2.7416782,0.0
Ganja,2020-02-20,9.7,54.847206,5.1919937,0.20000000298023224
Ganja,2020-02-21,12.1,50.59507,5.1544156,0.0
Ganja,2020-02-22,7.75,81.88794,4.6938257,0.20000000298023224
Ganja,2020-02-23,14.4,46.58538,10.829958,0.20000000298023224
Ganja,2020-02-24,12.7,45.772755,5.8603754,0.0
Ganja,2020-02-25,6.7,66.74992,18.204042,1.100000038743019
Ganja,2020-02-26,8.15,37.249302,6.3690495,0.10000000149011612
Ganja,2020-02-27,12.75,26.286932,0.35999998,0.0
Ganja,2020-02-28,16.35,22.395927,13.979872,0.0
Ganja,2020-02-29,15.35,28.368774,28.829233,0.0
Ganja,2020-03-01,13.25,40.93895,19.083395,0.20000000298023224
Ganja,2020-03-02,7.8,77.44024,2.1897945,3.3000000715255737
Ganja,2020-03-03,14.55,39.293,6.9527545,0.0
Ganja,2020-03-04,16.35,36.16151,3.9763298,0.0
Ganja,2020-03-05,18.2,31.711758,5.0911684,0.0
Ganja,2020-03-06,14.6,46.972176,10.483357,0.0
Ganja,2020-03-07,13.05,50.85616,6.638072,0.0
Ganja,2020-03-08,16.45,39.706226,2.5455842,0.0
Ganja,2020-03-09,15.55,35.668636,6.6185193,0.0
Ganja,2020-03-10,16.05,43.712784,6.130579,0.0
Ganja,2020-03-11,21.05,25.907804,6.1305785,0.0
Ganja,2020-03-12,23.25,25.68143,8.049845,0.0
Ganja,2020-03-13,16.0,58.43978,8.534353,0.0
Ganja,2020-03-14,12.85,76.91615,6.151683,0.4000000059604645
Ganja,2020-03-15,17.75,40.79169,7.5685663,2.4000000208616257
Ganja,2020-03-16,6.3,73.18504,24.967497,1.9000000283122063
Ganja,2020-03-17,3.75,75.40252,4.072935,6.599999912083149
Ganja,2020-03-18,4.15,73.0483,11.304229,0.7999999895691872
Ganja,2020-03-19,10.55,50.71118,6.638072,2.9000000059604645
Ganja,2020-03-20,12.0,54.67466,4.198285,0.0
Ganja,2020-03-21,8.6,81.99901,16.919998,0.8000000193715096
Ganja,2020-03-22,11.1,57.41308,2.9024127,0.0
Ganja,2020-03-23,16.35,39.677162,7.5942073,0.0
Ganja,2020-03-24,16.5,45.402195,7.208994,0.0
Ganja,2020-03-25,15.95,43.07274,13.698934,0.0
Ganja,2020-03-26,15.65,31.315931,22.033648,0.0
Ganja,2020-03-27,15.95,35.91496,11.384199,0.0
Ganja,2020-03-28,14.3,57.222767,19.469975,0.0
Ganja,2020-03-29,11.35,50.0277,4.73506,0.20000000298023224
Ganja,2020-03-30,16.35,41.98804,15.646544,1.3000000268220901
Ganja,2020-03-31,18.1,34.157276,14.904173,0.10000000149011612
Ganja,2020-04-01,18.4,39.71144,13.441071,0.10000000149011612
