City,Date,NDBI,NDVI
Ganja,2020-01-02,0.08856990371651846,0.18058053982458905
Ganja,2020-01-14,0.10591799189718841,0.12230431207231712
Ganja,2020-01-14,0.09532551949089794,0.12410482120378832
Ganja,2020-01-14,0.1442728661968746,0.2198811857403844
Ganja,2020-01-14,0.06697139745532003,0.12354216563800277
Ganja,2020-01-17,-0.024230810888603956,0.0782895404176059
Ganja,2020-01-22,0.12387741126229335,0.23588743445681368
Ganja,2020-01-22,0.14542073761413707,0.24274246448796072
Ganja,2020-01-22,0.10620042934682633,0.2363301016661005
Ganja,2020-01-27,0.11217211233667496,0.11771312805841755
Ganja,2020-01-27,0.15683649525856533,0.21830817175308137
Ganja,2020-01-27,0.1030074401486743,0.10728543560853375
Ganja,2020-01-27,0.12227080211197326,0.20532590613764917
Ganja,2020-02-03,0.12186102889253574,0.11681697791230951
Ganja,2020-02-03,0.164675243954791,0.20365361556099373
Ganja,2020-02-03,0.10282297955074886,0.10276293635256428
Ganja,2020-02-03,0.12165368274561461,0.20505297505964176
Ganja,2020-02-06,0.20598294717964466,0.28917506017723577
Ganja,2020-02-06,0.16162642995829526,0.21489829468960414
Ganja,2020-02-06,0.11694026478156756,0.19049516796044405
Ganja,2020-02-11,-0.06232917923725036,0.1616996027696012
Ganja,2020-02-11,-0.22394248200811842,0.13219267555848319
Ganja,2020-02-11,0.003713882160144286,0.18453774947981538
Ganja,2020-02-16,0.0751606053497435,0.17924980572304247
Ganja,2020-02-18,0.15404325785913567,0.2222563826222734
Ganja,2020-02-18,0.09499876026350661,0.11535941733942921
Ganja,2020-02-18,0.0588687539592826,0.0919720925233096
Ganja,2020-02-18,0.1103517727327592,0.1803724822878067
Ganja,2020-02-21,0.17656613334185792,0.23493375942874867
Ganja,2020-02-21,0.1453350316716012,0.18902584724376303
Ganja,2020-02-21,0.1473987030130737,0.17636497210418328
Ganja,2020-02-21,0.110796391423714,0.17425111051897027
Ganja,2020-02-23,0.14545793400466728,0.2050516733139553
Ganja,2020-02-23,0.1290673182093619,0.157811511206261
Ganja,2020-02-26,0.12213990214932972,0.2077070932642244
Ganja,2020-02-26,0.0993642261947444,0.20036305738123003
Ganja,2020-03-04,0.12574326184665768,0.12257850307482124
Ganja,2020-03-04,0.10463750319963581,0.11947776086958145
