City,Date,EVI
Ganja,2020-01-01,0.12367978819755907
Ganja,2020-01-17,0.11145908096154807
Ganja,2020-02-02,0.1127055793562712
Ganja,2020-02-18,0.1141959871677492
Ganja,2020-03-05,0.12997275292488233
Ganja,2020-03-21,0.169351588159838
Ganja,2020-04-06,0.19767308109444084
Ganja,2020-04-22,0.2636193993533733
Ganja,2020-05-08,0.30594424889955446
Ganja,2020-05-24,0.2987439849267838
Ganja,2020-06-09,0.26785915903786905
Ganja,2020-06-25,0.2311295498486482
Ganja,2020-07-11,0.24656064306546405
Ganja,2020-07-27,0.25519811604536763
Ganja,2020-08-12,0.2325934746491783
Ganja,2020-08-28,0.25085232476468095
Ganja,2020-09-13,0.22160149524031736
Ganja,2020-09-29,0.20213552084085978
Ganja,2020-10-15,0.1954414859927542
Ganja,2020-10-31,0.17139007330529607
Ganja,2020-11-16,0.15582295596391685
Ganja,2020-12-02,0.15046431424943088
Ganja,2020-12-18,0.13268957134520504
Ganja,2021-01-01,0.12213198629044462
Ganja,2021-01-17,0.1238251812595544
Ganja,2021-02-02,0.1361699703139206
Ganja,2021-02-18,0.1309860406927094
Ganja,2021-03-06,0.15686674185902996
Ganja,2021-03-22,0.21961663275212745
Ganja,2021-04-07,0.2812292946604936
Ganja,2021-04-23,0.353292112461244
Ganja,2021-05-09,0.3486183706847302
Ganja,2021-05-25,0.3007342469333795
Ganja,2021-06-10,0.2877368839566066
Ganja,2021-06-26,0.25811325385328787
Ganja,2021-07-12,0.26833105353798964
Ganja,2021-07-28,0.24488265494384356
Ganja,2021-08-13,0.2164562821650191
Ganja,2021-08-29,0.21418371482254867
Ganja,2021-09-14,0.1981352060357615
Ganja,2021-09-30,0.20712228167466015
Ganja,2021-10-16,0.20862534316262746
Ganja,2021-11-01,0.18994485909448366
Ganja,2021-11-17,0.1816827924433993
Ganja,2021-12-03,0.17111269181273292
Ganja,2021-12-19,0.17137973678968874
Ganja,2022-01-01,0.15459788110699818
Ganja,2022-01-17,0.14839731906814177
Ganja,2022-02-02,0.14417768466743
Ganja,2022-02-18,0.1436437352660279
Ganja,2022-03-06,0.17584216862356322
Ganja,2022-03-22,0.17895483090700276
Ganja,2022-04-07,0.2355594827657682
Ganja,2022-04-23,0.2479629290791314
Ganja,2022-05-09,0.2747618200657997
